,Unnamed: 0,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance
2,2,34,1,1,500000,4,1,0,0,1
7,7,31,1,1,1350000,3,0,1,1,1
8,8,28,1,1,1450000,6,1,1,1,1
11,11,26,1,1,1400000,5,0,1,1,1
12,12,32,0,1,850000,6,0,0,0,1
13,13,31,0,1,1500000,6,0,1,1,1
17,17,28,1,1,800000,7,0,0,0,1
18,18,29,1,1,1050000,5,1,0,0,1
19,19,34,1,1,1500000,2,0,1,1,1
21,21,29,1,1,350000,3,0,0,0,1
23,23,28,0,1,600000,9,0,0,0,1
26,26,34,1,0,1300000,6,0,1,0,1
32,32,25,0,1,750000,4,0,0,0,1
34,34,28,1,1,800000,9,0,0,0,1
39,39,33,1,1,1500000,5,1,1,1,1
40,40,25,1,1,1400000,3,1,1,1,1
42,42,26,1,1,1500000,2,1,1,1,1
43,43,28,1,1,1200000,4,0,1,0,1
44,44,25,1,1,1400000,7,0,0,1,1
45,45,34,1,0,1400000,5,1,0,1,1
46,46,25,1,1,1400000,4,0,0,1,1
49,49,31,1,1,1350000,3,0,0,1,1
56,56,28,1,1,550000,3,0,0,0,1
57,57,34,1,1,1000000,6,0,0,0,1
58,58,33,1,1,1400000,6,0,1,1,1
59,59,33,1,1,1400000,9,0,1,1,1
61,61,32,0,1,800000,3,0,1,0,1
64,64,30,1,0,1450000,9,0,1,1,1
67,67,34,1,1,1500000,3,0,1,1,1
76,76,29,1,1,1200000,3,0,0,0,1
78,78,31,0,1,1300000,3,0,0,1,1
83,83,34,1,0,950000,4,0,1,0,1
85,85,25,1,0,1700000,4,0,1,0,1
93,93,33,0,1,700000,7,0,1,0,1
95,95,26,1,1,1400000,5,0,0,1,1
100,100,28,1,1,1300000,6,1,0,0,1
101,101,33,1,1,1500000,3,1,1,1,1
103,103,26,1,1,1400000,5,0,0,1,1
108,108,26,1,1,1300000,4,0,0,0,1
109,109,25,1,1,1700000,3,0,1,0,1
116,116,28,1,1,1150000,5,0,0,0,1
118,118,31,0,1,1500000,4,1,1,1,1
121,121,26,1,1,1400000,6,0,0,1,1
125,125,29,1,1,500000,3,1,0,0,1
128,128,31,1,1,1350000,8,0,0,1,1
133,133,25,1,1,1750000,4,0,0,1,1
135,135,28,1,1,800000,6,0,0,1,1
136,136,29,1,1,500000,6,0,0,0,1
139,139,35,1,0,800000,7,1,0,0,1
146,146,30,1,0,750000,3,1,0,0,1
148,148,25,1,1,1400000,4,0,0,1,1
150,150,28,1,1,650000,2,1,0,0,1
151,151,29,1,1,1200000,7,0,0,0,1
155,155,34,1,1,1300000,6,0,0,0,1
158,158,31,1,1,1250000,6,0,1,0,1
160,160,31,0,1,1200000,5,1,0,0,1
161,161,34,1,0,1400000,3,1,0,1,1
162,162,34,1,1,500000,7,0,0,0,1
170,170,31,1,1,1350000,6,1,0,1,1
173,173,26,1,1,450000,5,1,0,0,1
174,174,34,1,1,700000,6,0,1,0,1
176,176,34,1,1,1050000,6,0,0,0,1
182,182,35,1,0,800000,3,0,1,0,1
185,185,28,0,1,300000,4,0,0,0,1
186,186,28,1,1,500000,9,0,0,0,1
189,189,26,1,1,1400000,7,1,0,1,1
195,195,25,1,1,1400000,5,0,1,1,1
196,196,34,1,1,1000000,7,0,0,0,1
198,198,25,1,0,1350000,4,0,0,1,1
199,199,30,1,0,1450000,5,0,1,1,1
200,200,27,0,1,1050000,4,0,0,0,1
201,201,31,1,1,1400000,2,0,0,1,1
202,202,28,1,1,600000,7,0,0,0,1
206,206,25,1,0,1150000,5,1,0,0,1
208,208,29,1,1,1350000,4,0,0,1,1
213,213,26,1,1,1400000,5,0,1,1,1
216,216,34,1,1,1050000,8,0,0,0,1
226,226,34,0,1,1300000,9,1,0,0,1
236,236,26,1,1,1500000,5,0,1,1,1
241,241,35,1,0,800000,6,0,0,0,1
247,247,27,0,1,1050000,3,0,1,0,1
248,248,34,0,1,1300000,6,0,0,0,1
250,250,34,1,1,1000000,6,1,0,0,1
252,252,29,1,1,1350000,5,1,0,1,1
253,253,28,1,1,1400000,2,0,0,1,1
255,255,34,1,1,1500000,5,0,1,1,1
256,256,34,0,1,1300000,7,1,0,1,1
257,257,33,1,1,550000,5,0,0,0,1
259,259,33,0,1,400000,3,1,0,0,1
260,260,26,1,1,1400000,3,1,0,1,1
261,261,28,1,1,1100000,4,1,0,0,1
267,267,33,0,1,1100000,4,0,0,0,1
268,268,34,1,1,500000,6,0,0,0,1
270,270,34,0,1,1300000,6,0,0,1,1
273,273,34,1,1,1000000,6,0,1,0,1
274,274,32,0,1,850000,7,0,0,0,1
275,275,26,1,1,1400000,4,1,0,1,1
278,278,32,0,1,800000,5,1,0,0,1
282,282,26,1,1,1400000,4,0,0,1,1
284,284,28,1,1,750000,3,0,0,0,1
293,293,31,1,1,1250000,3,0,0,0,1
297,297,35,1,0,800000,7,1,0,0,1
298,298,25,1,0,1700000,4,0,1,0,1
300,300,32,0,1,900000,5,1,0,0,1
302,302,34,1,1,700000,6,0,0,0,1
306,306,33,0,1,650000,5,1,0,0,1
309,309,33,0,1,650000,4,0,0,0,1
311,311,34,1,1,1500000,7,0,1,1,1
313,313,25,1,0,1150000,4,0,0,0,1
314,314,26,1,1,1400000,5,0,0,1,1
317,317,32,0,1,800000,6,0,0,0,1
318,318,34,0,1,1100000,3,0,0,0,1
319,319,25,1,1,1700000,2,1,1,0,1
323,323,33,1,1,1400000,5,0,0,1,1
328,328,34,1,1,700000,6,0,1,1,1
331,331,33,1,1,550000,4,0,0,0,1
332,332,31,1,1,1650000,7,1,1,0,1
334,334,29,1,1,1050000,3,0,0,0,1
335,335,28,1,1,800000,2,0,0,0,1
342,342,28,1,1,1100000,2,0,0,0,1
346,346,25,1,1,1800000,7,1,1,0,1
352,352,31,1,1,1350000,6,0,0,1,1
354,354,25,1,0,1150000,5,0,0,0,1
355,355,28,1,1,1400000,3,0,0,1,1
361,361,29,1,1,1350000,4,0,0,1,1
365,365,25,1,0,1700000,3,0,1,0,1
368,368,35,1,0,800000,3,0,0,0,1
370,370,31,0,1,1300000,6,0,0,0,1
377,377,27,1,0,1550000,4,0,1,0,1
378,378,25,1,1,1700000,5,0,1,0,1
379,379,27,1,0,1550000,6,0,1,0,1
382,382,31,1,1,1400000,6,0,0,1,1
386,386,28,1,1,1350000,5,0,0,1,1
389,389,31,1,1,1350000,5,0,0,1,1
390,390,33,1,1,550000,5,0,0,0,1
391,391,28,0,1,1200000,5,0,0,0,1
392,392,31,1,1,950000,4,1,0,0,1
394,394,28,1,1,1200000,4,0,0,0,1
396,396,33,0,1,650000,6,1,0,0,1
404,404,33,0,1,650000,5,1,0,0,1
406,406,28,1,1,1200000,9,0,0,0,1
407,407,25,1,0,1700000,6,0,1,0,1
413,413,25,1,1,1700000,5,0,1,0,1
414,414,33,1,1,1400000,4,0,0,1,1
416,416,31,1,1,1400000,7,0,0,1,1
417,417,31,1,1,1400000,3,0,1,1,1
422,422,34,1,1,1500000,7,1,1,1,1
423,423,25,1,1,1400000,5,0,0,1,1
424,424,29,1,1,1100000,7,1,1,0,1
427,427,25,1,1,1400000,7,0,1,1,1
430,430,26,1,1,1300000,7,0,0,0,1
434,434,34,1,1,1300000,7,0,0,0,1
435,435,34,1,1,1500000,4,1,1,1,1
440,440,34,1,1,1000000,4,0,0,0,1
441,441,34,1,1,850000,5,0,0,0,1
443,443,25,1,0,1150000,6,0,0,0,1
444,444,28,1,1,700000,4,1,0,0,1
448,448,33,1,1,1500000,4,1,1,1,1
449,449,31,1,1,500000,3,1,0,0,1
452,452,34,1,1,1300000,4,1,0,0,1
456,456,26,1,1,1500000,5,1,1,1,1
459,459,34,1,1,1500000,5,0,1,1,1
460,460,25,1,0,1350000,6,0,0,1,1
461,461,35,0,1,900000,4,1,0,0,1
464,464,34,1,1,1500000,5,0,1,1,1
465,465,26,1,1,1500000,5,0,1,1,1
469,469,25,1,0,1700000,5,0,1,0,1
473,473,25,1,1,1400000,8,0,0,1,1
475,475,34,1,1,1000000,4,0,0,0,1
476,476,33,1,1,1400000,4,1,0,1,1
477,477,34,1,1,1500000,6,1,1,1,1
480,480,34,1,1,1050000,7,0,1,0,1
484,484,33,0,1,800000,6,0,0,0,1
487,487,34,1,1,850000,4,0,0,0,1
491,491,28,1,1,1100000,4,1,0,0,1
497,497,28,1,1,1200000,5,0,1,0,1
500,500,26,1,1,1500000,4,0,1,1,1
502,502,28,0,1,300000,4,1,0,0,1
508,508,28,1,1,900000,6,0,0,0,1
509,509,28,1,1,1450000,6,0,1,1,1
514,514,28,1,1,500000,4,0,0,0,1
517,517,31,1,1,1250000,5,0,0,0,1
518,518,29,1,1,1350000,4,0,1,1,1
519,519,25,1,0,1700000,3,0,1,0,1
522,522,35,1,0,800000,6,1,0,0,1
532,532,31,0,1,1300000,5,1,1,0,1
534,534,27,1,0,450000,4,0,0,0,1
535,535,31,1,1,1350000,5,0,0,1,1
537,537,29,1,1,600000,8,1,0,0,1
540,540,26,1,1,1500000,3,0,1,1,1
547,547,26,1,1,1400000,4,1,0,1,1
551,551,25,1,1,1400000,9,1,0,1,1
559,559,29,1,1,1200000,3,0,0,0,1
560,560,26,1,1,1400000,7,0,0,1,1
563,563,33,1,1,550000,3,1,0,0,1
567,567,35,1,0,800000,7,1,0,1,1
575,575,29,1,1,900000,6,0,1,0,1
576,576,31,1,1,1400000,3,0,0,1,1
577,577,27,0,1,500000,3,0,0,0,1
583,583,29,1,1,500000,3,0,0,0,1
585,585,34,1,0,1400000,7,1,0,1,1
587,587,29,1,1,900000,9,1,0,0,1
588,588,35,1,0,800000,6,0,0,0,1
589,589,26,1,1,1400000,3,0,0,1,1
592,592,25,1,1,1700000,4,0,1,0,1
596,596,31,1,1,1350000,5,0,0,1,1
598,598,35,1,0,800000,6,0,1,0,1
600,600,34,1,1,1500000,4,1,1,1,1
602,602,34,1,1,1500000,4,0,1,1,1
603,603,33,1,1,1400000,6,1,0,1,1
605,605,28,1,1,1250000,5,0,0,1,1
608,608,28,1,1,800000,4,1,1,0,1
609,609,28,1,1,700000,7,1,1,1,1
617,617,30,1,0,550000,5,0,1,0,1
618,618,31,1,1,1650000,2,0,1,0,1
619,619,35,0,1,1100000,6,0,0,0,1
631,631,33,1,1,1400000,6,1,0,1,1
636,636,25,1,1,1400000,4,0,0,1,1
638,638,26,0,1,1450000,3,0,1,1,1
647,647,34,1,0,1300000,5,0,1,0,1
650,650,26,1,1,1400000,4,0,1,1,1
651,651,33,1,1,1400000,8,1,0,1,1
652,652,33,0,1,800000,6,0,0,0,1
657,657,28,1,1,1200000,5,0,0,0,1
658,658,30,1,0,1450000,6,0,1,1,1
663,663,32,0,1,800000,6,1,0,0,1
664,664,34,1,1,1500000,4,0,1,1,1
673,673,30,1,0,750000,3,1,0,0,1
678,678,25,1,1,1700000,4,0,1,0,1
680,680,29,1,1,1100000,4,1,0,1,1
682,682,26,1,1,1500000,5,1,1,1,1
685,685,34,1,1,1500000,4,1,1,1,1
686,686,33,1,1,1500000,3,0,1,1,1
694,694,34,0,1,1100000,6,1,0,0,1
697,697,25,1,1,1400000,3,1,0,1,1
698,698,33,1,1,1200000,7,0,0,0,1
700,700,28,1,1,1450000,4,0,1,1,1
701,701,29,1,1,1350000,7,1,0,1,1
704,704,33,0,1,700000,8,0,0,0,1
709,709,33,1,1,1500000,3,0,1,1,1
710,710,26,0,1,1450000,3,1,1,1,1
711,711,34,1,1,1000000,8,0,0,0,1
712,712,28,1,1,1450000,9,0,1,1,1
713,713,28,1,1,1100000,2,1,0,0,1
716,716,29,1,1,1100000,7,0,0,0,1
722,722,33,0,1,400000,8,0,0,0,1
725,725,30,1,0,800000,4,0,0,0,1
726,726,25,1,1,1700000,5,0,1,0,1
727,727,34,0,1,1100000,7,1,0,0,1
730,730,31,1,1,500000,6,0,0,0,1
734,734,34,1,1,1050000,7,0,0,0,1
737,737,28,1,1,700000,4,1,0,0,1
739,739,33,1,1,550000,4,0,0,0,1
740,740,34,1,1,1000000,6,1,0,0,1
741,741,34,1,1,1300000,6,0,0,0,1
742,742,34,1,1,1050000,7,1,0,0,1
747,747,34,1,1,1300000,6,0,0,0,1
749,749,34,0,1,1300000,8,0,0,0,1
751,751,28,1,1,1350000,9,0,0,1,1
752,752,28,1,0,550000,6,0,0,0,1
758,758,33,1,1,1400000,6,1,0,1,1
759,759,34,1,1,700000,7,1,0,0,1
761,761,26,1,1,1500000,3,0,1,1,1
768,768,34,1,1,1500000,5,0,1,1,1
771,771,29,1,1,500000,7,0,0,0,1
776,776,25,1,1,1400000,6,0,1,1,1
779,779,25,1,1,1400000,4,0,0,1,1
781,781,27,0,1,500000,5,0,0,0,1
784,784,31,0,1,1500000,5,1,1,1,1
789,789,28,1,1,750000,4,0,0,0,1
790,790,32,0,1,900000,4,1,0,0,1
791,791,35,1,0,800000,7,0,0,0,1
793,793,28,1,1,1150000,6,0,0,0,1
798,798,34,0,1,1300000,5,1,0,0,1
801,801,31,1,1,500000,4,1,0,0,1
802,802,30,1,0,550000,5,1,0,0,1
807,807,27,0,1,1050000,3,0,1,0,1
808,808,34,1,1,1500000,6,0,1,1,1
809,809,30,1,0,1450000,5,1,1,1,1
817,817,27,0,1,500000,4,0,0,0,1
818,818,28,1,1,900000,4,0,0,0,1
821,821,34,1,1,1000000,4,1,0,0,1
825,825,29,1,1,900000,7,0,0,0,1
827,827,32,0,1,850000,7,1,0,0,1
828,828,34,1,1,1000000,6,1,0,0,1
830,830,34,1,1,1050000,6,0,0,0,1
832,832,34,1,1,1500000,6,0,1,1,1
833,833,31,0,1,1500000,3,0,1,1,1
834,834,33,1,1,1400000,5,1,1,1,1
836,836,28,1,1,1450000,4,0,1,1,1
839,839,26,1,1,1250000,4,0,0,0,1
840,840,28,1,1,1100000,3,0,0,0,1
841,841,34,1,1,1500000,3,0,1,1,1
847,847,29,1,1,1050000,4,0,0,0,1
851,851,28,1,1,500000,5,0,0,0,1
856,856,34,1,1,700000,7,0,0,0,1
857,857,28,0,1,600000,3,0,0,0,1
861,861,30,1,0,1450000,3,1,1,1,1
865,865,31,1,1,1350000,5,0,0,1,1
866,866,31,1,1,1400000,3,1,0,1,1
869,869,33,1,1,1400000,3,0,0,1,1
873,873,32,0,1,350000,3,0,0,0,1
877,877,26,1,1,1400000,3,0,0,1,1
879,879,29,1,1,1050000,4,0,0,0,1
883,883,28,1,1,1350000,3,0,0,1,1
884,884,35,0,1,1100000,8,0,1,0,1
886,886,31,1,1,1350000,3,0,0,1,1
890,890,33,1,1,1400000,3,0,0,1,1
894,894,30,1,0,800000,5,0,0,0,1
895,895,28,1,1,600000,5,0,0,1,1
899,899,25,1,1,1700000,3,0,1,0,1
900,900,29,1,1,1050000,3,1,1,0,1
902,902,34,1,1,500000,7,1,0,0,1
907,907,26,1,1,1400000,6,0,0,1,1
909,909,26,1,1,1400000,4,1,0,1,1
912,912,31,1,1,1400000,6,0,1,1,1
913,913,31,1,1,1400000,4,0,0,1,1
916,916,26,1,1,1500000,6,0,1,1,1
918,918,33,0,1,1000000,7,1,0,0,1
919,919,26,1,1,1500000,6,0,1,1,1
926,926,34,1,1,700000,5,0,0,0,1
927,927,33,1,1,1500000,5,1,1,1,1
928,928,26,1,1,450000,7,0,0,0,1
929,929,26,1,1,600000,5,0,0,0,1
930,930,34,1,1,700000,7,1,0,0,1
932,932,27,0,1,1050000,5,1,0,0,1
935,935,27,1,0,1550000,7,0,1,0,1
938,938,28,0,1,1200000,8,0,1,0,1
939,939,31,1,1,500000,8,0,0,0,1
940,940,25,1,1,1400000,6,0,1,1,1
946,946,25,1,1,1400000,5,0,1,1,1
949,949,29,1,1,1200000,3,1,0,1,1
951,951,34,1,1,1500000,5,0,1,1,1
952,952,28,1,1,1450000,5,0,1,1,1
955,955,34,1,1,1300000,6,0,0,0,1
956,956,25,1,0,1700000,5,0,1,0,1
960,960,28,1,1,1450000,4,0,1,1,1
963,963,26,1,1,600000,6,1,0,0,1
964,964,33,0,1,400000,9,1,0,0,1
966,966,25,1,1,1700000,4,1,1,0,1
971,971,34,1,1,1050000,6,0,0,1,1
973,973,26,1,1,1500000,4,0,1,1,1
974,974,26,1,1,1500000,4,0,1,1,1
975,975,30,1,0,1450000,3,1,1,1,1
977,977,34,1,1,1500000,2,0,1,1,1
983,983,35,1,0,950000,6,0,1,0,1
985,985,25,1,1,1400000,3,1,1,1,1
986,986,25,1,1,1400000,3,0,0,1,1
987,987,33,1,1,1400000,2,1,0,1,1
989,989,33,0,1,400000,7,1,0,0,1
990,990,29,1,1,600000,4,0,1,0,1
991,991,30,1,0,1450000,7,0,1,1,1
996,996,31,1,1,1400000,4,0,1,1,1
998,998,26,1,1,1400000,4,0,0,1,1
999,999,34,1,1,1300000,6,0,0,0,1
1001,1001,26,1,1,1250000,5,0,0,0,1
1007,1007,34,1,1,1000000,6,0,0,0,1
1008,1008,26,1,1,1400000,5,0,0,1,1
1009,1009,34,1,1,1500000,4,0,1,1,1
1011,1011,35,1,0,950000,9,0,0,0,1
1014,1014,26,0,1,550000,5,0,0,0,1
1015,1015,26,1,1,1400000,4,1,0,1,1
1019,1019,27,0,1,850000,4,1,1,1,1
1021,1021,28,1,1,1150000,4,0,0,0,1
1023,1023,25,1,1,1400000,3,0,0,1,1
1024,1024,32,0,1,800000,9,0,0,1,1
1025,1025,31,0,1,1300000,4,1,0,0,1
1032,1032,32,0,1,850000,3,0,0,0,1
1034,1034,25,1,1,1400000,3,0,1,1,1
1037,1037,29,1,1,900000,7,0,0,0,1
1038,1038,30,1,0,550000,4,0,0,0,1
1040,1040,32,0,1,850000,3,0,1,0,1
1044,1044,25,1,0,1350000,6,0,0,1,1
1047,1047,31,1,1,1350000,4,0,0,1,1
1053,1053,34,1,1,1050000,4,0,0,0,1
1055,1055,25,1,1,1700000,5,0,1,0,1
1066,1066,29,1,1,1200000,5,1,0,0,1
1067,1067,34,1,1,700000,4,0,1,0,1
1068,1068,27,0,1,500000,4,1,0,0,1
1076,1076,31,1,1,1350000,4,0,0,1,1
1081,1081,26,0,1,1450000,5,0,1,1,1
1091,1091,34,1,1,1500000,9,0,1,1,1
1092,1092,31,0,1,1500000,7,0,1,1,1
1093,1093,26,1,1,1500000,5,0,1,1,1
1095,1095,34,0,1,1100000,9,0,0,0,1
1096,1096,30,1,0,1450000,7,1,1,1,1
1099,1099,35,1,0,800000,6,0,0,0,1
1100,1100,27,1,0,450000,3,0,0,0,1
1105,1105,26,0,1,1450000,7,0,1,1,1
1107,1107,26,1,1,1400000,5,0,0,1,1
1108,1108,35,1,0,950000,3,0,1,0,1
1109,1109,25,1,1,1400000,4,1,1,1,1
1116,1116,28,0,1,600000,9,0,1,0,1
1121,1121,34,1,1,1000000,6,1,0,0,1
1122,1122,34,1,1,700000,5,0,1,0,1
1123,1123,25,1,1,1800000,6,1,1,0,1
1129,1129,26,1,1,1500000,2,0,1,1,1
1132,1132,34,0,1,1300000,4,0,0,0,1
1133,1133,35,0,1,1100000,3,1,0,0,1
1134,1134,31,1,1,1250000,7,0,0,0,1
1135,1135,28,1,1,1100000,7,1,0,0,1
1136,1136,27,1,0,600000,6,0,0,0,1
1147,1147,26,1,1,1500000,3,0,1,1,1
1149,1149,25,1,1,1400000,5,0,1,1,1
1150,1150,28,1,1,600000,3,0,0,0,1
1151,1151,34,1,1,700000,7,0,0,0,1
1155,1155,28,0,1,600000,4,0,1,0,1
1156,1156,28,1,1,1300000,6,0,0,0,1
1157,1157,28,1,1,800000,5,1,0,0,1
1161,1161,28,1,1,600000,3,0,0,0,1
1162,1162,34,1,0,1400000,4,0,0,1,1
1164,1164,31,1,1,1400000,6,0,0,1,1
1165,1165,28,1,1,1150000,2,0,0,0,1
1169,1169,25,1,1,1400000,7,0,0,1,1
1172,1172,28,1,1,900000,4,1,0,0,1
1173,1173,32,0,1,850000,7,0,0,1,1
1178,1178,28,1,1,800000,4,0,0,0,1
1192,1192,33,0,1,1100000,3,0,0,0,1
1194,1194,31,1,1,1350000,3,0,0,1,1
1197,1197,25,1,1,1700000,5,1,1,0,1
1200,1200,26,1,1,1400000,4,1,0,1,1
1202,1202,31,1,1,1400000,4,0,0,1,1
1204,1204,28,1,1,800000,3,1,0,0,1
1206,1206,29,1,1,1200000,3,0,0,0,1
1209,1209,34,1,1,1500000,5,1,1,1,1
1210,1210,30,1,0,800000,5,0,0,0,1
1211,1211,25,1,1,1700000,4,0,1,0,1
1213,1213,25,0,1,750000,2,0,0,1,1
1215,1215,25,1,1,1700000,5,0,1,0,1
1216,1216,27,1,0,800000,6,0,0,0,1
1219,1219,34,1,1,700000,6,0,1,0,1
1224,1224,33,1,1,1400000,7,0,0,1,1
1226,1226,34,1,1,1500000,5,0,1,1,1
1229,1229,33,0,1,400000,9,0,0,0,1
1230,1230,31,0,1,1500000,6,0,1,1,1
1231,1231,34,1,1,1500000,4,1,1,1,1
1238,1238,34,1,1,700000,6,0,0,0,1
1239,1239,34,1,1,1500000,6,1,1,1,1
1241,1241,33,0,1,1100000,8,0,0,0,1
1243,1243,33,0,1,700000,6,1,0,0,1
1245,1245,26,1,1,1400000,3,0,0,1,1
1251,1251,28,1,1,500000,5,1,0,0,1
1253,1253,25,1,1,1700000,3,0,1,0,1
1254,1254,34,1,1,700000,8,0,0,0,1
1256,1256,28,1,1,500000,5,1,0,0,1
1258,1258,34,0,1,1300000,7,1,0,0,1
1259,1259,33,0,1,400000,6,0,0,0,1
1261,1261,33,0,1,800000,6,1,0,0,1
1262,1262,27,0,1,500000,4,0,0,0,1
1266,1266,33,1,1,1400000,8,1,0,1,1
1267,1267,31,1,1,1350000,3,0,1,1,1
1268,1268,33,0,1,1000000,5,0,0,1,1
1271,1271,25,1,1,500000,4,1,0,0,1
1272,1272,33,0,1,650000,3,0,0,0,1
1276,1276,31,0,1,1200000,5,1,0,0,1
1277,1277,34,1,1,1500000,2,0,1,1,1
1278,1278,30,1,0,550000,3,0,0,0,1
1279,1279,29,1,1,1200000,5,0,1,0,1
1280,1280,25,1,1,1400000,4,0,0,1,1
1282,1282,31,1,1,1400000,3,0,1,1,1
1290,1290,31,1,1,1400000,5,0,1,1,1
1291,1291,34,1,1,1500000,5,1,1,1,1
1295,1295,35,0,1,900000,7,1,1,0,1
1298,1298,27,0,1,500000,2,1,0,0,1
1302,1302,28,1,0,550000,3,0,0,0,1
1304,1304,34,1,1,1050000,5,0,0,0,1
1305,1305,29,1,1,900000,5,0,0,0,1
1309,1309,33,1,1,1400000,4,0,0,1,1
1310,1310,28,1,1,1150000,6,0,0,0,1
